class,precision,recall,f1-score,support
Analysis,0.8176127471902119,0.8458934353841625,0.8315126962309195,6794.0
Backdoor,0.9259977379221199,0.814756895081035,0.86682295999395,7034.0
DoS,0.9053404201467983,0.47699693292438994,0.6248034934497817,7499.0
Exploits,0.5599870560634252,0.7747062115277,0.6500751314800901,8935.0
Fuzzers,0.4166666666666667,0.639063906390639,0.5044404973357016,7777.0
Generic,0.6284861582793043,0.9816749718694744,0.7663445852679132,6221.0
Normal,0.9901698715184961,0.7140281059569705,0.8297265074605297,16082.0
Reconnaissance,0.734108335394509,0.40446988280185336,0.5215710394517178,7338.0
Shellcode,0.8299017628852106,0.9062454077883909,0.8663950547906716,6805.0
Worms,0.9418756341498767,0.9756756756756757,0.9584777638468913,6660.0
accuracy,,,,0.7415121079548955
macro avg,0.7750146390216619,0.753351142540029,0.7420169729308166,81145.0
weighted avg,0.7916983469793784,0.7415121079548955,0.7441129620336933,81145.0
