class,precision,recall,f1-score,support
Analysis,0.9225796521471449,0.8713475795900567,0.896232057416268,6879.0
Backdoor,0.9038520801232666,0.8567255732437564,0.8796580940241434,6847.0
DoS,0.9759519038076152,0.5189131592967501,0.6775652173913044,7508.0
Exploits,0.5303518956496811,0.8361581920903954,0.6490374073586809,8850.0
Fuzzers,0.9168053244592346,0.34882248670549504,0.5053654957351188,7898.0
Generic,0.97808,0.9743385400063755,0.9762056850846375,6274.0
Normal,0.6539234552063289,0.9486352357320099,0.7741804834831034,16120.0
Reconnaissance,0.965236051502146,0.6008549292011756,0.740655359789231,7486.0
Shellcode,0.999040153575428,0.9489439294939979,0.9733478802992519,6581.0
Worms,0.999099369558691,0.9931363772008356,0.9961089494163424,6702.0
accuracy,,,,0.7975229527389242
macro avg,0.8844919886029536,0.7897876002560847,0.8068356629998081,81145.0
weighted avg,0.8499749161072626,0.7975229527389242,0.7916851457262006,81145.0
