class,precision,recall,f1-score,support
Analysis,0.0,0.0,0.0,552.0
Backdoor,0.0,0.0,0.0,462.0
DoS,0.6190476190476191,0.004058694973462379,0.008064516129032258,3203.0
Exploits,0.53948772678762,0.9020745036805711,0.6751815677435512,8966.0
Fuzzers,0.0,0.0,0.0,4831.0
Generic,0.9896738662765683,0.9744958481613286,0.9820262135507835,11802.0
Normal,0.7063973334404241,0.951273592558542,0.8107485250737463,18491.0
Reconnaissance,0.0,0.0,0.0,2896.0
Shellcode,0.0,0.0,0.0,301.0
Worms,0.0,0.0,0.0,31.0
accuracy,,,,0.7216842922285825
macro avg,0.2854606545552231,0.2831902639373904,0.2476020822497113,51535.0
weighted avg,0.6124377713132875,0.7216842922285825,0.6337621602991163,51535.0
