class,precision,recall,f1-score,support
Normal,0.9884133806765091,0.6536488908113453,0.7869071973219267,16183.0
Attack,0.9204321224252232,0.9980911917736522,0.9576898932831136,64962.0
accuracy,,,,0.929397991250231
macro avg,0.9544227515508661,0.8258700412924987,0.8722985453025202,81145.0
weighted avg,0.9339898364221492,0.929397991250231,0.9236301684850375,81145.0
